train,stations
train_1,"[Gouda, Den Haag Centraal, Delft, Schiedam Centrum, Rotterdam Centraal]"
train_2,"[Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum, Alkmaar, Hoorn, Zaandam, Castricum]"
train_3,"[Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Gouda, Alphen a/d Rijn, Leiden Centraal]"
train_4,"[Leiden Centraal, Schiphol Airport, Amsterdam Zuid]"
train_5,"[Beverwijk, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid]"
train_6,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid]"
score,8697.857142857143
